gvkey,fyear,datadate,conm,fic,cik,ein
1166,1996,19961231,ASM INTERNATIONAL NV,NLD,351483,
1491,1995,19951231,HADERA PAPER LTD,ISR,5337,
1855,2000,20001231,ATLAS CONS MINING & DEV CORP,PHL,1575721,
1932,1990,19901231,BRITISH AMER TOBACCO PLC,GBR,1303523,
1945,1990,19900930,BOC GROUP PLC,GBR,715095,
2000,1990,19901231,BANCO CENTRAL HISPANO,ESP,723041,
2018,1994,19941231,BANK LEUMI LE-ISRAEL BM,ISR,NA,
2162,1991,19911231,BENGUET CORP,PHL,11290,
2338,1990,19901231,REXAM PLC,GBR,13522,
2410,1990,19901231,BP PLC,GBR,313807,
2411,1989,19900331,BT GROUP PLC,GBR,756620,
2414,1990,19901231,BATS-BRITISH AMER TOB (SING),SGP,NA,
2597,1990,19901231,CADBURY PLC,GBR,744473,
2721,1990,19901231,CANON INC,JPN,16988,
3558,1989,19900331,COURTAULDS PLC,GBR,769417,
4245,1989,19900331,ELAN CORP PLC,IRL,737572,
4248,1994,19941231,ELBIT LTD,ISR,724138,
4311,1994,19941231,ELRON ELECTRONIC INDS LTD,ISR,315126,
4312,1990,19901231,ELSCINT LTD,ISR,32522,
4439,1990,19901231,TELEFONAKTIEBOLAGET LM ERICS,SWE,717826,
4925,1990,19901031,FUJIFILM HLDGS CORP,JPN,800365,
5150,1990,19901231,GEVAERT NV,BEL,78318,
5180,1990,19900630,GLAXOSMITHKLINE PLC,GBR,1131399,
5302,1996,19960630,ORMINEX LTD,AUS,312653,
5650,1989,19900331,HITACHI LTD,JPN,47710,
5691,1989,19900331,HONDA MOTOR CO LTD,JPN,715153,
5785,1990,19900930,HUNTINGDON LIFE SCIENCE PLC,GBR,718083,
5832,1997,19971231,IEM-INDUSTRIA ELEC MEXICO SA,MEX,907006,
5837,1994,19941231,IIS-INTELLIGENT INFORMATION,ISR,742358,
5894,1990,19901231,ICI-IMPERIAL CHEM INDS PLC,GBR,49906,
5988,1990,19901231,INSTRUMENTARIUM CORP,FIN,722811,
6197,1989,19900228,ITO-YOKADO CO LTD,JPN,352353,
6203,1997,19971231,ISRAEL DISCOUNT BANK LTD,ISR,824334,
6305,1989,19900331,KLM-ROYAL DUTCH AIRLINES,NLD,56316,
6494,1989,19900331,KOMATSU LTD,JPN,56594,
6506,1989,19900331,KUBOTA CORP,JPN,109821,
6512,1989,19900331,KYOCERA CORP,JPN,57083,
6775,1989,19900331,SANWA BANK LTD,JPN,NA,
6972,1989,19900331,MAKITA CORP,JPN,202467,
7041,1993,19940331,PANSAR BERHAD,MYS,NA,
7114,1989,19900331,PANASONIC CORP,JPN,63271,
7471,1989,19900331,MITSUI & CO LTD,JPN,67099,
7652,1989,19900331,NEC CORP,JPN,72127,
7908,1989,19900331,NIPPON TELEGRAPH & TELEPHONE,JPN,769594,
8020,1990,19901231,NOVO NORDISK A/S,DNK,353278,
8071,1994,19941130,OCE NV,NLD,753058,
8169,1995,19951231,ORBOTECH LTD,ISR,749037,
8303,1997,19971231,PALABORA MINING CO LTD,ZAF,704800,
8544,1990,19901231,PLDT INC,PHL,78150,
8546,1990,19901231,KONINKLIJKE PHILIPS NV,NLD,313216,
8594,1989,19900331,PIONEER CORP,JPN,78706,
9098,1990,19901231,THOMSON REUTERS PLC,GBR,1056084,
9135,1989,19900331,RICOH CO LTD,JPN,723303,
9213,1997,19970930,SPORTECH PLC,GBR,703914,
9267,1990,19901231,ROYAL DUTCH PETROLEUM NV,NLD,85486,
9343,1990,19900930,CORDIANT COMMUNICATIONS GRP,GBR,1010401,
9501,1994,19941231,SUNY CELLULAR COMMUNICATION,ISR,315816,
9655,1990,19901231,SHELL TRANSPORT AND TRADING,GBR,89635,
9818,1989,19900331,SONY CORP,JPN,313838,
10137,1989,19900331,SUMITOMO MITSUI FINANCIAL GR,JPN,1022837,
10275,1989,19900331,TDK CORP,JPN,203383,
10622,1989,19900331,TOSHIBA CORP,JPN,98573,
10755,1995,19951231,TUBOS DE ACERO DE MEXICO,MEX,100084,
10845,1990,19901231,UNILEVER PLC,GBR,217410,
10846,1990,19901231,UNILEVER NV,NLD,110390,
11217,1990,19901231,VOLVO AB,SWE,753762,
11749,1990,19901231,SKF AB,SWE,777504,
11758,1993,19940331,ZCCM INVESTMENT HOLDINGS PLC,ZMB,84274,
12368,1990,19901231,SCA-SVENSKA CELLULOSA AB,SWE,801667,
12383,1990,19901231,NORSK HYDRO ASA,NOR,900268,
12384,1990,19901231,ROYAL DUTCH SHELL PLC,GBR,1306965,
12596,1997,19971231,ARYT INDUSTRIES LTD,ISR,785938,
12616,1989,19900331,WACOAL HOLDINGS CORP,JPN,104040,
12673,1990,19901231,BARCLAYS PLC,GBR,312069,
