gvkey,fyear,conm,cik,ein
1003,1989,A.A. IMPORTING CO INC,730052,43-1232041
1004,1989,AAR CORP,1750,36-2334820
1009,1990,ABS INDUSTRIES INC,313368,34-0074580
1010,1990,ACF INDUSTRIES HOLDING CORP,910627,13-1875943
1011,1990,ACS ENTERPRISES INC,702511,23-1976138
1013,1990,ADC TELECOMMUNICATIONS INC,61478,41-0743912
1014,1990,ADDSCO INDUSTRIES INC,3141,63-0002640
1017,1989,AEL INDUSTRIES  -CL A,4911,23-1353403
1019,1990,AFA PROTECTIVE SYSTEMS INC,2668,13-1805009
1021,1990,AFP IMAGING CORP,319126,13-2956272
1025,1989,A I C INTL INC,2880,11-2192898
1028,1989,AIM TELEPHONES INC,354173,22-2033540
1033,1990,A L D INC,3392,36-2081461
1034,1990,ALPHARMA INC  -CL A,730469,22-2095212
1036,1990,UNITED DOMINION INDUSTRIES,29590,98-0125322
1037,1989,AM COMMUNICATIONS INC,318580,23-1922958
1038,1989,AMC ENTERTAINMENT INC -OLD,NA,
1043,1990,MULTIGRAPHICS INC,2310,34-0054940
1045,1990,AMERICAN AIRLINES GROUP INC,6201,75-1825172
1048,1990,ANR PIPELINE CO,65695,38-1281775
1050,1989,CECO ENVIRONMENTAL CORP,3197,13-2566064
1054,1990,ASK GROUP INC,354797,94-2250034
1055,1990,AST RESEARCH INC,725182,95-3525565
1056,1990,AEROFLEX INC,2601,11-1974412
1058,1990,APL CORP,6841,11-1884074
1062,1990,ASA GOLD AND PRECIOUS METALS,1230869,
1065,1990,AT&E CORP,8076,94-2478119
1072,1990,AVX CORP,859163,33-0379007
1073,1990,AW COMPUTER SYSTEMS  -CL A,319037,22-1991981
1075,1990,PINNACLE WEST CAPITAL CORP,764622,86-0512431
1076,1989,AARON'S INC,706688,58-0687630
1078,1990,ABBOTT LABORATORIES,1800,36-0698440
1081,1990,ABITIBI CONSOLIDATED INC,1039778,98-0171273
1082,1989,SERVIDYNE INC,1923,58-0522129
1083,1989,ACA JOE INC,98707,94-1662847
1084,1990,WORLDS INC,1961,22-1848316
1086,1990,AMETECH INC,1969,73-0766924
1090,1989,ACCESS CORP,1988,31-0673364
1094,1990,ACETO CORP,2034,11-1720520
1095,1990,ACKERLEY GROUP INC,319120,91-1043807
1096,1989,MORGUARD CORP,NA,
1097,1990,ACMAT CORP  -CL A,2062,06-0682460
1098,1990,ACME-CLEVELAND CORP,869676,34-1662809
1099,1990,ACME ELECTRIC CORP,2070,16-0324980
1104,1990,ACME UNITED CORP,2098,06-0236700
1107,1990,ACE HARDWARE CORP,2024,36-0700810
1108,1990,PRINCETON HOLDINGS INC,NA,25-0918682
1109,1990,COREWAFER INDUSTRIES INC,747435,59-2095427
1111,1989,ACTIVISION INC,NA,
1115,1990,ADAC LABORATORIES,313798,94-1725806
1116,1989,ADACORP INC,8050,94-3022115
1117,1989,BK TECHNOLOGIES CORP,2186,83-4064262
1119,1990,ADAMS DIVERSIFIED EQUITY FD,2230,13-4912740
1121,1990,ADAMS RESOURCES & ENERGY INC,2178,74-1753147
1125,1990,ADDITIVE TECHNOLOGY CORP,730347,04-2598842
1128,1990,ADIA SERVICES INC,752200,94-2933186
1137,1990,ADVANCE CIRCUITS INC,NA,41-0917530
1138,1990,ADVANCE ROSS CORP,2457,36-3878407
1141,1990,ADVANCED COMPUTER TECHNIQUES,2467,13-1991722
1142,1990,ADVANCED ENERGY CORP,320179,59-2240486
1148,1990,ADVEST GROUP INC,319489,06-0950444
1151,1989,AEQUITRON MEDICAL INC,736970,41-1359703
1154,1990,AERO SYSTEMS ENGINEERING INC,2589,41-0913117
1155,1989,AERO SYSTEMS INC,2590,59-1001822
1161,1990,ADVANCED MICRO DEVICES,2488,94-1692300
1163,1990,ADVANCED MONITORING SYS INC,315698,84-0790980
1164,1990,MCI INC,723527,20-0533283
1165,1990,B-FAST CORP,350200,72-0385274
1166,1990,ASM INTERNATIONAL NV,351483,
1171,1989,ADVANCED TELECOMMUNICATIONS,729647,58-1518952
1173,1989,AEROSONIC CORP,109471,74-1668471
1177,1990,AETNA INC,1122304,23-2229683
1178,1990,AFFILIATED BANKSHARES COLO,2682,84-0596022
1181,1990,AFFILIATED PUBNS,849696,04-3034520
1183,1989,IDNA INC,1004981,34-1816760
1186,1990,AGNICO EAGLE MINES LTD,2809,98-0357066
1189,1990,AGRA INDUSTRIES LTD,NA,
1190,1990,AGRI DYNAMICS INC,2817,42-0863420
1193,1990,AGWAY INC,2852,15-0277720
1194,1990,AHMANSON (H F) & CO,771667,95-0479700
1197,1990,AILEEN INC,2904,13-1575256
1203,1990,AIR EXPRESS INTERNATIONAL CP,700674,36-2074327
1208,1990,AIR MIDWEST INC,310454,48-0696610
1209,1990,AIR PRODUCTS & CHEMICALS INC,2969,23-1274455
1210,1989,AIR T INC,353184,52-1206400
1212,1990,AIR WISCONSIN SERVICES INC,717324,39-1435586
1213,1990,AIRBORNE INC,3000,91-2065027
1224,1990,ALABAMA GAS CORP,3146,63-0022000
1225,1990,ALABAMA POWER CO,3153,63-0004250
1226,1990,ALAMCO INC,355115,55-0615701
1228,1989,ALANCO TECHNOLOGIES INC,98618,86-0220694
1230,1990,ALASKA AIR GROUP INC,766421,91-1292054
1231,1990,ALASKA GOLD CO,3228,13-2774390
1233,1990,ALASKA NORTHWEST PROPERTIES,313809,92-0035034
1234,1990,ATRION CORP,701288,63-0821819
1235,1990,ALBA-WALDENSIAN INC,3292,56-0359780
1238,1990,ALBERTA ENERGY CO LTD,927600,
1239,1990,ALBERTO-CULVER CO,1368457,20-5196741
1240,1989,ALBERTSON'S INC,3333,82-0184434
1243,1990,ALCAN INC,4285,
1244,1989,ALCIDE CORP,708484,22-2445061
1245,1990,AMERISOURCE CORP,1476003,23-2353106
1246,1990,IKON OFFICE SOLUTIONS,3370,23-0334400
1250,1989,ALDEN ELECTRONICS INC,3398,04-2156392
1253,1990,ALEXANDER & ALEXANDER,3449,52-0969822
1254,1990,MATSON INC,3453,99-0032630
1255,1990,ALEXANDER ENERGY CORP,355143,73-1088777
1257,1990,ALEXANDER'S INC,3499,51-0100517
1258,1989,CAPCO ENERGY INC,354767,84-0846529
1259,1990,TAMIR BIOTHECHNOLOGY INC,708717,22-2369085
1260,1990,ADRIEN ARPEL INC,724989,13-3032734
1262,1990,ALGOMA CENTRAL CORP,NA,
1263,1990,ESSAR STEEL ALGOMA INC,1616896,
1264,1990,ALGOREX CORP,3535,11-2157882
1265,1990,AMERICAN EAGLE RESOURCES INC,731297,95-3494141
1266,1990,ALICO INC,3545,59-0906081
1272,1990,ALL STATE PROPERTIES HLDGS,745543,32-0252180
1274,1990,ALLEGHANY CORP,775368,51-0283071
1277,1990,ALLECO INC,3656,52-1158079
1278,1990,SUNBEAM CORPORATION,3662,25-1638266
1279,1990,ALLEGHENY ENERGY INC,3673,13-5531602
1281,1990,ALLEN TELECOM INC,3721,38-0290950
1283,1990,ALLEN ORGAN CO  -CL B,3753,23-1263194
1286,1990,ALLIANCE NORTHWEST INDS INC,745452,76-0096223
1297,1990,ALLIED PRODUCTS,3941,38-0292230
