,ABS ASSET CLASS:            ,BUSINESS PHONE,CENTRAL INDEX KEY,CITY,COMPANY CONFORMED NAME,CONFORMED PERIOD OF REPORT,DATE AS OF CHANGE,DATE OF NAME CHANGE,FILED AS OF DATE,FILM NUMBER,FISCAL YEAR END,FORM TYPE,FORMER CONFORMED NAME,IRS NUMBER,SEC ACT,SEC FILE NUMBER,STANDARD INDUSTRIAL CLASSIFICATION,STATE,STATE OF INCORPORATION,STREET 1,STREET 2,ZIP
20,,8562563318,0000000020,PITMAN,K TRON INTERNATIONAL INC,,,,,10681142,0102,10-K,,221759452,1934 Act,000-09576,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL [3823]",NJ,NJ,ROUTE 55 & 553,P O BOX 888,08071-0888
1048620,,952-215-0660,0001048620,MINNEAPOLIS,GRANITE CITY FOOD & BREWERY LTD.,,,19991112,,14704127,1227,10-K,GRANITE CITY FOOD & BREWERY LTD,411883639,1934 Act,000-29643,RETAIL-EATING PLACES [5812],MN,MN,701 XENIA AVENUE SOUTH,SUITE 120,55416
1048685,,908-497-9610,0001048685,CRANFORD,METALICO INC,,,19971029,,15772539,1231,10-K,METALICO INC /NJ,000000000,1934 Act,001-32453,SECONDARY SMELTING & REFINING OF NONFERROUS METALS [3341],NJ,,186 NORTH AVENUE EAST,908-497-9610,07016
1048695,,2062725555,0001048695,SEATTLE,F5 NETWORKS INC,,,19990305,,181197855,0930,10-K,F5 LABS INC,911714307,1934 Act,000-26041,COMPUTER COMMUNICATIONS EQUIPMENT [3576],WA,WA,401 ELLIOT AVE WEST,STE 500,98119
1048701,,604-525-2386,0001048701,COQUITLAM,AVANI INTERNATIONAL GROUP INC //,,,19971029,,11539231,1231,10-K/A,AVANI INTERNATIONAL GROUP INC,880367866,1934 Act,001-14415,BOTTLED & CANNED SOFT DRINKS CARBONATED WATERS [2086],A1,NV,"#328, 17 FAWCETT ROAD",,V3K 6V2
1048789,,9724444900,0001048789,IRVING,FelCor Lodging LP,,,19971030,,19648887,1231,10-K,FELCOR SUITES LP,752544994,1934 Act,333-39595-01,REAL ESTATE INVESTMENT TRUSTS [6798],TX,DE,545 E. JOHN CARPENTER FREEWAY,SUITE 1300,75062
1048911,,9018187500,0001048911,MEMPHIS,FEDEX CORP,,,19971103,,191030425,0531,10-K/A,FDX CORP,621721435,1934 Act,001-15829,AIR COURIER SERVICES [4513],TN,DE,942 SOUTH SHADY GROVE ROAD,,38120-
1049011,,011886225061688,0001049011,"TAIPEI, TAIWAN ROC",KID CASTLE EDUCATIONAL CORP,,,19971104,,09686957,1231,10-K,OMNI DOORS INC,592549529,1934 Act,333-39629,WHOLESALE-PROFESSIONAL & COMMERCIAL EQUIPMENT & SUPPLIES [5040],F5,FL,7TH FLOOR,127-1 SUNG CHIANG ROAD,00000
1049108,,9186607700,0001049108,TULSA,DOLLAR THRIFTY AUTOMOTIVE GROUP INC,,,,,12648858,1231,10-K,,731356520,1934 Act,001-13647,SERVICES-AUTO RENTAL & LEASING (NO DRIVERS) [7510],OK,DE,5330 EAST 31ST STREET,,74135
1049210,,858 431-8500,0001049210,SAN DIEGO,VERENIUM CORP,,,19991201,,13996154,1231,10-K/A,DIVERSA CORP,223297375,1934 Act,000-29173,INDUSTRIAL ORGANIC CHEMICALS [2860],CA,DE,3550 JOHN HOPKINS COURT,,92121
1049231,,9492241917,0001049231,NEWPORT BEACH,UNITED PAN AM FINANCIAL CORP,,,,,09684971,1231,10-K,,943211687,1934 Act,000-24051,MORTGAGE BANKERS & LOAN CORRESPONDENTS [6162],CA,CA,3990 WESTERLY PLACE,SUITE 200,92660
1049442,,8479693300,0001049442,SCHAUMBURG,PLIANT CORP,,,19971110,,08699349,1231,10-K,HUNTSMAN PACKAGING CORP,432107725,1934 Act,000-52325,"PLASTICS, FOIL & COATED PAPER BAGS [2673]",IL,DE,1475 WOODFIELD ROAD,,60173
1049502,,978-645-5500,0001049502,ANDOVER,MKS INSTRUMENTS INC,,,,,19633053,1231,10-K,,042277512,1934 Act,000-23621,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL [3823]",MA,MA,2 TECH DRIVE,SUITE 201,01810
