,Unnamed: 0,ABS ASSET CLASS:            ,BUSINESS PHONE,CENTRAL INDEX KEY,CITY,COMPANY CONFORMED NAME,CONFORMED PERIOD OF REPORT,DATE AS OF CHANGE,DATE OF NAME CHANGE,FILED AS OF DATE,FILM NUMBER,FISCAL YEAR END,FORM TYPE,FORMER CONFORMED NAME,IRS NUMBER,SEC ACT,SEC FILE NUMBER,STANDARD INDUSTRIAL CLASSIFICATION,STATE,STATE OF INCORPORATION,STREET 1,STREET 2,ZIP
26,1853,,949-888-8060,1853,IRVINE,"MotivNation, Inc.",,,20000101.0,,10831929.0,1231.0,10-K,ABERDEEN IDAHO MINING CO,826008492.0,1934 Act,000-50048,MOTOR VEHICLES & PASSENGER CAR BODIES [3711],CA,,"18101 VON KARMAN AVE., SUITE 330",,92612
114,1053439,,8605250821,1053439,WINDSOR,STANADYNE CORP,,,19980121.0,,14730602.0,1231.0,10-K,STANADYNE AUTOMOTIVE CORP,222940378.0,1934 Act,333-45823,MOTOR VEHICLE PARTS & ACCESSORIES [3714],CT,DE,92 DEERFIELD ROAD,92 DEERFIELD ROAD,06095
245,1058198,,5706032335,1058198,EXETER,KEYSTONE AUTOMOTIVE OPERATIONS INC,,,,,10696348.0,1230.0,10-K,,232950980.0,1934 Act,333-112252,WHOLESALE-MOTOR VEHICLE SUPPLIES & NEW PARTS [5013],PA,PA,44 TUNKHANNOCK AVE,,18643
355,1062231,,3137583600,1062231,DETROIT,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,,,,,19611085.0,1231.0,10-K,,383161171.0,1934 Act,001-14303,MOTOR VEHICLE PARTS & ACCESSORIES [3714],MI,DE,ONE DAUCH DRIVE,,48211-1198
376,1063197,,585-254-1100,1063197,ROCHESTER,"CurAegis Technologies, Inc.",,,19980610.0,,19781454.0,1231.0,10-K/A,TORVEC INC,161509512.0,1934 Act,000-24455,MOTOR VEHICLE PARTS & ACCESSORIES [3714],NY,NY,1999 MT. READ BLVD.,BUILDING #3,14615
440,1065696,,312-621-1950,1065696,CHICAGO,LKQ CORP,,,,,19648837.0,1231.0,10-K,,364215970.0,1934 Act,000-50404,WHOLESALE-MOTOR VEHICLES & MOTOR VEHICLE PARTS & SUPPLIES [5010],IL,DE,500 WEST MADISON STREET,SUITE 2800,60661
536,20740,,(615)771-3100,20740,FRANKLIN,CLARCOR INC.,,,19871001.0,,17554325.0,1130.0,10-K,CLARK J L MANUFACTURING CO /DE/,360922490.0,1934 Act,001-11024,MOTOR VEHICLE PARTS & ACCESSORIES [3714],TN,DE,840 CRESCENT CENTRE DRIVE,SUITE 600,37067
562,1070181,,760-510-6910,1070181,HUNTINGTON BEACH,"San West, Inc",,,19991027.0,,11864638.0,1231.0,10-K/A,HUMAN BIOSYSTEMS INC,770481056.0,1934 Act,000-28413,MOTOR VEHICLES & PASSENGER CAR BODIES [3711],CA,CA,21316 SEASPRITE CIRCLE,,92646
623,1072342,,248-813-2000,1072342,TROY,DELPHI CORP,,,19981020.0,,9651086.0,1231.0,10-K,DELPHI AUTOMOTIVE SYSTEMS CORP,383430473.0,1934 Act,001-14787,MOTOR VEHICLE PARTS & ACCESSORIES [3714],MI,DE,5725 DELPHI DRIVE,,48098
640,1073146,,2813349479,1073146,KEMAH,AMERICAN INTERNATIONAL INDUSTRIES INC,,,,,15777872.0,1231.0,10-K/A,,880326480.0,1934 Act,001-33640,MOTOR VEHICLE PARTS & ACCESSORIES [3714],TX,NV,601 CIEN ST,SUITE 235,77565-2701
682,26780,,419-887-3000,26780,MAUMEE,DANA INC,,,19920703.0,,19611187.0,1231.0,10-K,DANA CORP,261531856.0,1934 Act,001-01063,MOTOR VEHICLE PARTS & ACCESSORIES [3714],OH,DE,PO BOX 1000,,43537
728,1076744,,949-851-4300,1076744,IRVINE,"EMAV Holdings, Inc.",,,20081112.0,,161548595.0,1029.0,10-K,"Ravenwood Bourne, Ltd.",263167800.0,1934 Act,000-53492,MOTOR VEHICLES & PASSENGER CAR BODIES [3711],CA,DE,1900 MAIN STREET,SUITE 300,92614
755,1077638,,3083811355,1077638,GRAND ISLAND,SENSE TECHNOLOGIES INC,,,,,161832057.0,228.0,10-K,,470827058.0,1934 Act,000-29990,MOTOR VEHICLE PARTS & ACCESSORIES [3714],NE,B0,2535 N CARLETON AVENUE,,68803
881,1082176,,727-364-2744,1082176,TAMPA,"KLEANGAS ENERGY TECHNOLOGIES, INC.",,,20000728.0,,14766261.0,1231.0,10-K,REDMOND CAPITAL CORP,455349950.0,1934 Act,000-31219,MOTOR VEHICLE PARTS & ACCESSORIES [3714],FL,,3001 N. ROCKY POINT RD.,SUITE 200,33607
885,1082278,,905-695-4141 EX-266,1082278,MONTGOMERYVILLE,ENVIRONMENTAL SOLUTIONS WORLDWIDE INC,,,,,15738488.0,1231.0,10-K,,134172059.0,1934 Act,000-30392,MOTOR VEHICLE PARTS & ACCESSORIES [3714],PA,FL,200 PROGRESS DR,,18936
1044,37996,,3133223000,37996,DEARBORN,FORD MOTOR CO,,,,,19621964.0,1231.0,10-K,,380549190.0,1934 Act,001-03950,MOTOR VEHICLES & PASSENGER CAR BODIES [3711],MI,DE,ONE AMERICAN RD,,48126
1120,40730,,313 556-5000,40730,DETROIT,Motors Liquidation Co,,,19930816.0,,19875352.0,331.0,10-K,GENERAL MOTORS CORP,380572515.0,1934 Act,001-00043,MOTOR VEHICLES & PASSENGER CAR BODIES [3711],MI,DE,500 RENAISSANCE CTR,SUITE 1400,48265-3000
1129,40987,,6789345000,40987,ATLANTA,GENUINE PARTS CO,,,,,191011715.0,1231.0,10-K/A,,580254510.0,1934 Act,001-05690,WHOLESALE-MOTOR VEHICLE SUPPLIES & NEW PARTS [5013],GA,GA,2999 WILDWOOD PARKWAY,,30339
1332,1096275,,1-888-554-8789,1096275,VAUGHAN,"Franchise Holdings International, Inc.",,,19991005.0,,19819206.0,1231.0,10-K,TMANGLOBAL COM INC,650782227.0,1934 Act,000-27631,MOTOR VEHICLE PARTS & ACCESSORIES [3714],A6,NV,3120 RUTHERFORD RD,SUITE 414,L4K OB2
1348,1096637,,877 611 7284,1096637,SANTA ANA,SaviCorp,,,19991012.0,,15941727.0,1231.0,10-K,GENE CELL INC,911766174.0,1934 Act,000-27727,MOTOR VEHICLE PARTS & ACCESSORIES [3714],CA,NV,2530 SOUTH BIRCH STREET,,92707
1719,60977,,2036461233,60977,MANCHESTER,LYDALL INC /DE/,,,19700115.0,,19631635.0,1231.0,10-K,COLONIAL BOARD CO,60865505.0,1934 Act,001-07665,MOTOR VEHICLE PARTS & ACCESSORIES [3714],CT,DE,ONE COLONIAL RD,P O BOX 151,06045-0151
1754,1111335,,800-847-8366,1111335,VAN BUREN TOWNSHIP,VISTEON CORP,,,,,19622462.0,1231.0,10-K,,383519512.0,1934 Act,001-15827,MOTOR VEHICLE PARTS & ACCESSORIES [3714],MI,DE,ONE VILLAGE CENTER DRIVE,,48111
1797,1113256,,248-435-1000,1113256,TROY,MERITOR INC,,,20000501.0,,181188202.0,930.0,10-K,MU SUB INC,383354643.0,1934 Act,001-15983,MOTOR VEHICLE PARTS & ACCESSORIES [3714],MI,IN,2135 W MAPLE ROAD,,48084
1867,67347,,2626361200,67347,RACINE,MODINE MANUFACTURING CO,,,,,19849655.0,331.0,10-K,,390482000.0,1934 Act,001-01373,MOTOR VEHICLE PARTS & ACCESSORIES [3714],WI,WI,1500 DEKOVEN AVE,,53403
2069,75362,,425 468 7525,75362,BELLEVUE,PACCAR INC,,,19720707.0,,19621923.0,1231.0,10-K,PACIFIC CAR & FOUNDRY CO,910351110.0,1934 Act,001-14817,MOTOR VEHICLES & PASSENGER CAR BODIES [3711],WA,DE,PACCAR BUILDING,777 106TH AVENUE NE,98004
2147,1126533,,561 989 3600,1126533,BOCA RATON,"Andover Holdings, Inc./FL",,,20011115.0,,12824010.0,1231.0,10-K,REAL LOGIC  INC,641045849.0,1934 Act,000-32055,MOTOR VEHICLES & PASSENGER CAR BODIES [3711],FL,FL,7300 N. FEDERAL HIGHWAY,SUITE 207,33487
2500,93389,,718-392-0200,93389,LONG ISLAND CITY,"STANDARD MOTOR PRODUCTS, INC.",,,19920703.0,,19617663.0,1231.0,10-K,STANDARD MOTOR PRODUCTS INC,111362020.0,1934 Act,001-04743,MOTOR VEHICLE PARTS & ACCESSORIES [3714],NY,NY,37-18 NORTHERN BLVD.,,11101
2549,95552,,248-352-7300,95552,SOUTHFIELD,SUPERIOR INDUSTRIES INTERNATIONAL INC,,,,,19665841.0,1231.0,10-K,,952594729.0,1934 Act,001-06615,MOTOR VEHICLE PARTS & ACCESSORIES [3714],MI,DE,26600 TELEGRAPH ROAD,,48033
2625,99249,,5612207662,99249,STUART,REGENCY AFFILIATES INC,,,19800609.0,,10968746.0,1231.0,10-K,TRANSCONTINENTAL ENERGY CORP,720888772.0,1934 Act,001-07949,MOTOR VEHICLE PARTS & ACCESSORIES [3714],FL,DE,729 SE FEDERAL HWY,STE 307,34994
2648,101116,,,101116,ALBION,UNITED COMPONENTS INC,,,,,10692892.0,1231.0,10-K,,43759857.0,1934 Act,333-107219,MOTOR VEHICLE PARTS & ACCESSORIES [3714],IL,DE,301 INDUSTRIAL DR,,62806
2754,1157758,,800-841-2222,1157758,SPENCER,"ATC Ventures Group, Inc.",,,20010820.0,,12774099.0,930.0,10-K,CYCLE COUNTRY ACCESSORIES CORP,421523809.0,1934 Act,001-31715,MOTOR VEHICLE PARTS & ACCESSORIES [3714],IA,NV,1701 38TH AVE W,,51301
2755,1157762,,0716-8324631,1157762,HUBEI PROVINCE,CHINA AUTOMOTIVE SYSTEMS INC,,,20010820.0,,19711917.0,1231.0,10-K,VISIONS IN GLASS INC,330885775.0,1934 Act,000-33123,MOTOR VEHICLE PARTS & ACCESSORIES [3714],F4,DE,"NO. 1, HENGLONG ROAD","YU QIAO DEVELOPMENT ZONE,JINGZHOU CITY",XXXXX
2804,1158702,,604-678-9446,1158702,WOODLAND HILLS,"Transnational Automotive Group, Inc.",,,20010905.0,,8898835.0,228.0,10-K,APACHE MOTOR CORP,760603927.0,1934 Act,000-33149,MOTOR VEHICLE PARTS & ACCESSORIES [3714],CA,NV,21800 BURBANK BLVD.,SUITE 200,91367
2868,1162862,,7039184926,1162862,TAIHE DISTRICT,"Wonder Auto Technology, Inc",,,20011129.0,,10657947.0,1231.0,10-K,MGCC INVESTMENT STRATEGIES INC,880495105.0,1934 Act,001-33648,MOTOR VEHICLE PARTS & ACCESSORIES [3714],F4,NV,NO. 56 LINGXI STREET,TAIHE DISTRICT,121013
2926,1166380,,949-399-4500,1166380,LAKE FOREST,"QUANTUM FUEL SYSTEMS TECHNOLOGIES WORLDWIDE, INC.",,,20020201.0,,15704002.0,1231.0,10-K,QUANTUM FUEL SYSTEMS TECHNOLOGIES WORLDWIDE INC,330933072.0,1934 Act,000-49629,MOTOR VEHICLE PARTS & ACCESSORIES [3714],CA,DE,25242 ARCTIC OCEAN DRIVE,,92630
3387,1237941,,7347375084,1237941,NORTHVILLE,HAYES LEMMERZ INTERNATIONAL INC,,,20030602.0,,9864783.0,131.0,10-K/A,HLI HOLDING CO INC,320072578.0,1934 Act,000-50303,MOTOR VEHICLE PARTS & ACCESSORIES [3714],MI,DE,15300 CENTENNIAL DRIVE,,48167
3471,1260037,,516-887-8200,1260037,VALLEY STREAM,Energtek,,,20030814.0,,8714161.0,1231.0,10-K,ELDERWATCH INC,0.0,1934 Act,000-51249,MOTOR VEHICLE PARTS & ACCESSORIES [3714],NY,,26 EAST HAWTHORNE AVENUE,,11580
3552,1267097,,734 855 2600,1267097,LIVONIA,TRW AUTOMOTIVE HOLDINGS CORP,,,,,15799403.0,1231.0,10-K/A,,810597059.0,1934 Act,001-31970,MOTOR VEHICLE PARTS & ACCESSORIES [3714],MI,DE,12001TECH CENTER DRIVE,,48150
3702,1278363,,517-540-0045,1278363,HOWELL,MARKETING WORLDWIDE CORP,,,,,13530980.0,1231.0,10-K,,680566295.0,1934 Act,000-50586,WHOLESALE-MOTOR VEHICLE SUPPLIES & NEW PARTS [5013],MI,DE,2212 GRAND COMMERCE DRIVE,,48855
3774,1281949,,8009233725,1281949,CARMEL,ADESA INC,,,,,12771244.0,1231.0,10-K/A,,351842546.0,1934 Act,001-32198,WHOLESALE-MOTOR VEHICLES & MOTOR VEHICLE PARTS & SUPPLIES [5010],IN,,13085 HAMILTON CROSSING BLVD,,46032
3843,1284454,,888-669-3588,1284454,ST. JOHN'S,ENVIRONMENTAL CONTROL CORP.,,,20040322.0,,12776991.0,1231.0,10-K,BOSS MINERALS INC,203626387.0,1934 Act,333-120682,MOTOR VEHICLE PARTS & ACCESSORIES [3714],A4,,85 KENMOUNT ROAD,,A1B 3N7
3960,1290900,,614 289 5360,1290900,NEW ALBANY,"Commercial Vehicle Group, Inc.",,,,,19673188.0,1231.0,10-K,,411990662.0,1934 Act,001-34365,MOTOR VEHICLE PARTS & ACCESSORIES [3714],OH,DE,7800 WALTON PARKWAY,,43054
4334,1316517,,(86-0579) 82239851,1316517,JINHUA,"Kandi Technologies Group, Inc.",,,20050203.0,,19683019.0,1231.0,10-K,STONE MOUNTAIN RESOURCES INC,870700927.0,1934 Act,001-33997,MOTOR VEHICLES & PASSENGER CAR BODIES [3711],F4,DE,JINHUA CITY INDUSTRIAL ZONE,ZHEJIANG PROVINCE,321016
4372,1318605,,650-681-5000,1318605,PALO ALTO,"Tesla, Inc.",,,20050222.0,,19613254.0,1231.0,10-K,TESLA MOTORS INC,912197729.0,1934 Act,001-34756,MOTOR VEHICLES & PASSENGER CAR BODIES [3711],CA,DE,3500 DEER CREEK RD,,94304
4394,1320461,,248-596-5900,1320461,NOVI,Cooper-Standard Holdings Inc.,,,20050311.0,,19630321.0,1231.0,10-K,CSA Acquisition Corp.,201945088.0,1934 Act,001-36127,MOTOR VEHICLE PARTS & ACCESSORIES [3714],MI,DE,39550 ORCHARD HILL PLACE DRIVE,,48375
4424,1321724,,403-291-7020,1321724,CALGARY,Cal Alta Auto Glass Inc,,,,,9750594.0,1231.0,10-K,,880448809.0,1934 Act,000-51227,WHOLESALE-MOTOR VEHICLES & MOTOR VEHICLE PARTS & SUPPLIES [5010],A0,NV,#8 3927 EDMONTON TRAIL NE,,T2E6T1
4450,1323274,,8605250821,1053439,WINDSOR,STANADYNE CORP,,,19980121.0,,14730602.0,1231.0,10-K,STANADYNE AUTOMOTIVE CORP,222940378.0,1934 Act,333-45823,MOTOR VEHICLE PARTS & ACCESSORIES [3714],CT,DE,92 DEERFIELD ROAD,92 DEERFIELD ROAD,06095
4462,1323891,,704-632-7110,1323891,HUNTERSVILLE,"American Tire Distributors Holdings, Inc.",,,,,15710492.0,,10-K,,593796143.0,1934 Act,333-124878,WHOLESALE-MOTOR VEHICLE SUPPLIES & NEW PARTS [5013],NC,,1220 HERBERT WAYNE COURT,SUITE 150,28078
4516,277509,,630-954-2000,277509,OAK BROOK,,,,19600201.0,,19642548.0,1231.0,10-K,FEDERAL SIGN & SIGNAL CORP /DE/,361063330.0,1934 Act,001-06003,MOTOR VEHICLES & PASSENGER CAR BODIES [3711],IL,DE,1415 WEST 22ND STREET,SUITE 1100,60523
4587,1328655,,704-869-3300,1328655,GASTONIA,Affinia Group Intermediate Holdings Inc.,,,,,161568291.0,1231.0,10-K,,342022081.0,1934 Act,333-128166-10,MOTOR VEHICLE PARTS & ACCESSORIES [3714],NC,DE,1 WIX WAY,,28054
4812,1340786,,646-502-7170,1340786,NEW YORK,"Fuel Systems Solutions, Inc.",,,,,161504722.0,1231.0,10-K,,203960974.0,1934 Act,001-32999,MOTOR VEHICLE PARTS & ACCESSORIES [3714],NY,DE,780 THIRD AVENUE,25TH FLOOR,10017
