,source,target,relation,sentence
0,"MotivNation, Inc.",Company,Supply,The Company performs periodic inventory procedures and at times identifies supply inventory that is considered excess inventory or obsolete.
0,"MotivNation, Inc.",TrixMotive,customers,"On December 7, 2005, a customer of TrixMotive filed a lawsuit in the Superior Court of Santa Clara County of California against TrixMotive claiming for breach of contract and warranty, intentional and negligence misrepresentation for a customized vehicle."
1,"MotivNation, Inc.",the Superior Court of,customers,"On December 7, 2005, a customer of TrixMotive filed a lawsuit in the Superior Court of Santa Clara County of California against TrixMotive claiming for breach of contract and warranty, intentional and negligence misrepresentation for a customized vehicle."
3,"MotivNation, Inc.",TrixMotive,customers,"On January 24, 2008, a customer of TrixMotive filed a lawsuit in the Superior Court of Middlesex County of New Jersey against TrixMotive claiming for breach of contract and warranty, intentional and negligence misrepresentation for a customized vehicle."
4,"MotivNation, Inc.",the Superior Court of,customers,"On January 24, 2008, a customer of TrixMotive filed a lawsuit in the Superior Court of Middlesex County of New Jersey against TrixMotive claiming for breach of contract and warranty, intentional and negligence misrepresentation for a customized vehicle."
0,STANADYNE CORP,Company,Supply,"Although from time to time the Company has experienced temporary supply shortages due to localized conditions, no such shortage has had a material adverse effect on the Company, and no supplier accounts for more than 10% of material component purchases."
2,STANADYNE CORP,Company,Supply,"Because of the technical expertise required to design and manufacture the Company’s products to the tolerances required, the existence of longstanding supply relationships in the engine component business and the significant capital expenditures and lead time required to enter the business, there are a limited number of manufacturers selling to the global markets in which the Company operates."
3,STANADYNE CORP,Global Supply Chain,Supply,"In 2011, Mr. May,  who was hired as the Company’s Vice President, Global Supply Chain was awarded 400,000 stock options which expired in 2012 upon his resignation."
4,STANADYNE CORP,Company,Supply,"In 2011, Mr. Jones recommended that the Company employ Edward May as Vice President, Global Supply Chain to fill the vacancy left by Waqas Sherwani who left the Company in May, 2010."
5,STANADYNE CORP,Global Supply Chain,Supply,"In 2011, Mr. Jones recommended that the Company employ Edward May as Vice President, Global Supply Chain to fill the vacancy left by Waqas Sherwani who left the Company in May, 2010."
0,STANADYNE CORP,Company,customers,"The Company sells replacement parts and units through various global channels to service its products, including the service organizations of its OEM customers, its own authorized network of distributors and dealers, and major aftermarket distribution companies."
1,STANADYNE CORP,OEM,customers,"The Company sells replacement parts and units through various global channels to service its products, including the service organizations of its OEM customers, its own authorized network of distributors and dealers, and major aftermarket distribution companies."
2,STANADYNE CORP,Stanadyne,customers,Stanadyne sells its fuel injection products to its customers on an individual component basis or by complete line.
3,STANADYNE CORP,Stanadyne,customers,Stanadyne’s primary customers are OEMs of diesel and gas engines.
4,STANADYNE CORP,Stanadyne,customers,"Stanadyne’s largest customers, Deere & Company (“Deere”) and General Motors (""GM""), accounted for $128.2 million , or 47.9% of Stanadyne’s 2013 net sales."
5,STANADYNE CORP,Deere & Company,customers,"Stanadyne’s largest customers, Deere & Company (“Deere”) and General Motors (""GM""), accounted for $128.2 million , or 47.9% of Stanadyne’s 2013 net sales."
6,STANADYNE CORP,Deere,customers,"Stanadyne’s largest customers, Deere & Company (“Deere”) and General Motors (""GM""), accounted for $128.2 million , or 47.9% of Stanadyne’s 2013 net sales."
7,STANADYNE CORP,General Motors,customers,"Stanadyne’s largest customers, Deere & Company (“Deere”) and General Motors (""GM""), accounted for $128.2 million , or 47.9% of Stanadyne’s 2013 net sales."
8,STANADYNE CORP,GM,customers,"Stanadyne’s largest customers, Deere & Company (“Deere”) and General Motors (""GM""), accounted for $128.2 million , or 47.9% of Stanadyne’s 2013 net sales."
9,STANADYNE CORP,Stanadyne’s,customers,"Stanadyne’s largest customers, Deere & Company (“Deere”) and General Motors (""GM""), accounted for $128.2 million , or 47.9% of Stanadyne’s 2013 net sales."
